departure_jd,arrival_jd,departure_year,arrival_year,tof_days,c3_depart_km2s2,v_inf_depart_km_s,v_inf_arrive_km_s,dv_total_km_s
2461041.500,2461121.500,2026.0000,2026.2190,80.0,1837.994,42.872,42.852,76.229
2461041.500,2461131.500,2026.0000,2026.2464,90.0,1317.557,36.298,36.275,63.366
2461041.500,2461141.500,2026.0000,2026.2738,100.0,960.742,30.996,30.969,53.072
2461041.500,2461151.500,2026.0000,2026.3012,110.0,708.869,26.625,26.593,44.671
2461041.500,2461161.500,2026.0000,2026.3285,120.0,527.023,22.957,22.921,37.712
2461041.500,2461171.500,2026.0000,2026.3559,130.0,393.433,19.835,19.793,31.883
2461041.500,2461181.500,2026.0000,2026.3833,140.0,293.997,17.146,17.098,26.962
2461041.500,2461191.500,2026.0000,2026.4107,150.0,219.278,14.808,14.752,22.788
2461041.500,2461201.500,2026.0000,2026.4381,160.0,162.790,12.759,12.694,19.242
2461041.500,2461211.500,2026.0000,2026.4654,170.0,119.966,10.953,10.877,16.234
2461041.500,2461221.500,2026.0000,2026.4928,180.0,87.526,9.356,9.267,13.696
2461041.500,2461231.500,2026.0000,2026.5202,190.0,63.071,7.942,7.837,11.575
2461041.500,2461241.500,2026.0000,2026.5476,200.0,44.820,6.695,6.570,9.829
2461041.500,2461251.500,2026.0000,2026.5749,210.0,31.431,5.606,5.457,8.428
2461041.500,2461261.500,2026.0000,2026.6023,220.0,21.882,4.678,4.497,7.345
2461041.500,2461271.500,2026.0000,2026.6297,230.0,15.383,3.922,3.705,6.555
2461041.500,2461281.500,2026.0000,2026.6571,240.0,11.321,3.365,3.109,6.035
2461041.500,2461291.500,2026.0000,2026.6845,250.0,9.214,3.035,2.749,5.756
2461041.500,2461301.500,2026.0000,2026.7118,260.0,8.679,2.946,2.650,5.684
2461041.500,2461311.500,2026.0000,2026.7392,270.0,9.413,3.068,2.785,5.783
2461041.500,2461321.500,2026.0000,2026.7666,280.0,11.170,3.342,3.085,6.015
2461041.500,2461331.500,2026.0000,2026.7940,290.0,13.754,3.709,3.478,6.349
2461041.500,2461341.500,2026.0000,2026.8214,300.0,17.004,4.124,3.918,6.757
2461041.500,2461351.500,2026.0000,2026.8487,310.0,20.790,4.560,4.374,7.215
2461041.500,2461361.500,2026.0000,2026.8761,320.0,25.004,5.000,4.832,7.708
2461041.500,2461371.500,2026.0000,2026.9035,330.0,29.560,5.437,5.283,8.222
2461041.500,2461381.500,2026.0000,2026.9309,340.0,34.384,5.864,5.721,8.748
2461041.500,2461391.500,2026.0000,2026.9582,350.0,39.417,6.278,6.145,9.278
2461041.500,2461401.500,2026.0000,2026.9856,360.0,44.609,6.679,6.554,9.808
2461041.500,2461411.500,2026.0000,2027.0130,370.0,49.919,7.065,6.947,10.334
2461041.500,2461421.500,2026.0000,2027.0404,380.0,55.312,7.437,7.325,10.853
2461041.500,2461431.500,2026.0000,2027.0678,390.0,60.761,7.795,7.688,11.363
2461041.500,2461441.500,2026.0000,2027.0951,400.0,66.241,8.139,8.037,11.862
2461041.500,2461451.500,2026.0000,2027.1225,410.0,71.732,8.469,8.371,12.351
